"","Kingdom","Phylum","Class","Order","Family","Genus","Scientific.Name"
"1","Animalia","Chordata","Mammalia","Tubulidentata","Orycteropodidae","Orycteropus","Orycteropus afer"
"2","Animalia","Chordata","Mammalia","Carnivora","Felidae","Felis","Felis catus"
"3","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Addax","Addax nasomaculatus"
"4","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Pygoscelis","Pygoscelis adeliae"
"5","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"6","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"7","Animalia","Chordata","Amphibia","Anura","Pyxicephalidae","Pyxicephalus","Pyxicephalus adspersus"
"8","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta africana africana"
"9","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Civettictis","Civettictis civetta"
"10","Animalia","Chordata","Amphibia","Anura","Pipidae","Xenopus","Xenopus laevis"
"11","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Loxodonta","Loxodonta cyclotis"
"12","Animalia","Chordata","Aves","Psittaciformes","Psittacidae","Psittacus","Psittacus erithacus"
"13","Animalia","Chordata","Mammalia","Carnivora","Nandiniidae","Nandinia","Nandinia binotata"
"14","Animalia","Chordata","Aves","Sphenisciformes","Spheniscidae","Spheniscus","Spheniscus demersus"
"15","Animalia","Chordata","Amphibia","Anura","Bufonidae","Nectophryne","Nectophryne afra"
"16","Animalia","Chordata","Mammalia","Carnivora","Canidae","Lycaon","Lycaon pictus"
"17","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"18","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"19","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"20","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"21","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"22","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"23","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"24","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"25","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"26","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"27","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"28","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"29","Animalia","Chordata","Actinopterygii","Scombriformes","Scombridae","Thunnus","Thunnus alalunga"
"30","Animalia","Chordata","Reptilia","Testudines","Testudinidae","Geochelone","Geochelone gigantea"
"31","Animalia","Chordata","Reptilia","Crocodilia","Alligatoridae","Alligator","Alligator mississippiensis"
"32","Animalia","Chordata","Actinopterygii","Lepisosteiformes","Lepisosteidae","Atractosteus","Atractosteus spatula"
"33","Animalia","Chordata","Mammalia","Artiodactyla","Camelidae","Vicugna","Vicugna pacos"
"34","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"35","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"36","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"37","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"38","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"39","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"40","Animalia","Arthropoda","Insecta","Blattodea","Blattidae","Periplaneta","Periplaneta americana"
"41","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"42","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"43","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"44","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"45","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"46","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"47","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"48","Animalia","Chordata","Aves","Passeriformes","Turdidae","Turdus Linnaeus","Turdus migratorius"
"49","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"50","Animalia","Chordata","Amphibia","Anura","Bufonidae","Anaxyrus","Anaxyrus americanus"
"51","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis Lupus"
"52","Animalia","Chordata","Mammalia","Carnivora","Felidae","Panthera","Panthera pardus orientalis"
"53","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"54","Animalia","Chordata","Mammalia","Artiodactyla","Bovidae","Capra","Capra aegagrus hircus"
"55","Animalia","Annelida","Polychaeta","Phyllodocida","Polynoidae","Eulagisca","Eulagisca gigantea"
"56","Animalia","Chordata","Mammalia","Xenarthra","Myrmecophagidae","Tamandua","Myrmecophaga Tridactyla"
"57","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"58","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"59","Animalia","Chordata","Mammalia","Carnivora","Canidae","Vulpes","Vulpes lagopus"
"60","Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus","Lepus Arcticus"
"61","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canus Lupus Arcticus"
"62","Animalia","Arthropoda","Arachnida","Scorpiones","Buthidae","Centruriodes","Centruroides sculpturatus"
"63","Animalia","Chordata","Mammalia","Cingulata","Dasypodidae","Dasypus","Dasypodidae"
"64","Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Mythimna","Mythimna unipuncta"
"65","Animalia","Chordata","Mammalia","Proboscidea","Elephantidae","Elephas","Elephas maximus"
"66","Animalia","Arthropoda","Insecta","Hymenoptera","Vespidae","Vespa","Vespa mandarinia"
"67","Animalia","Chordata","Mammalia","Carnivora","Viverridae","Paradoxurus","Paradoxurus hermaphroditus"
"68","Animalia","Chordata","Mammalia","Carnivora","Ursidae","Ursus","Ursus tibetanus"
"69","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"70","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"71","Animalia","Hemichordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"72","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
"73","Animalia","Chordata","Mammalia","Carnivora","Canidae","Canis","Canis lupus"
